Title,genre
The Creator,action
Mission: Impossible - Dead Reckoning Part One,action
Expend4bles,action
The Equalizer 3,action
Napoleon,action
Leo,action
John Wick: Chapter 4,action
The Marvels,action
Gran Turismo,action
The Killer,action
Spider-Man: Across the Spider-Verse,action
Deliver Us from Evil,action
The Hunger Games: The Ballad of Songbirds and Snakes,action
Meg 2: The Trench,action
The Covenant,action
Ballerina,action
PAW Patrol: The Mighty Movie,action
Dungeons & Dragons: Honor Among Thieves,action
Guardians of the Galaxy Vol. 3,action
Blue Beetle,action
Dune,action
Teenage Mutant Ninja Turtles: Mutant Mayhem,action
Ganapath,action
Indiana Jones and the Dial of Destiny,action
The Dark Knight,action
The Batman,action
The Equalizer,action
Top Gun: Maverick,action
American Made,action
Spider-Man: No Way Home,action
Fast X,action
The Flash,action
The Misfits,action
The Hunger Games,action
Kingdom of Heaven,action
Khufiya,action
Everything Everywhere All at Once,action
Gladiator,action
Dune: Part Two,action
Inception,action
The Lord of the Rings: The Fellowship of the Ring,action
Blade Runner 2049,action
Gemini Man,action
John Wick,action
Transformers: Rise of the Beasts,action
Jawan,action
Avatar: The Way of Water,action
Avengers: Endgame,action
Ghostbusters,action
Bullet Train,action
